711 Ocean Drive;Joseph M. Newman;Crime drama;Columbia
Abbott and Costello in the Foreign Legion;Charles Lamont;Comedy;Universal
Across the Badlands;Fred F. Sears;Western;Columbia
The Admiral Was a Lady;Albert S. Rogell;Comedy;United Artists
All About Eve;Joseph L. Mankiewicz;Drama;"20th Century Fox; Academy Award for Best Picture; 12 nominations"
Ambush;Sam Wood;Western;MGM. Wood's last film
American Guerrilla in the Philippines;Fritz Lang;War;20th Century Fox
Annie Get Your Gun;George Sidney;Musical;"MGM. Based on 1946 musical; 4 Oscar nominations"
The Arizona Cowboy;R. G. Springsteen;Western;Republic
Arizona Territory;Wallace Fox;Western;Monogram
Armored Car Robbery;Richard Fleischer;Film noir;RKO. Among first heist films
The Asphalt Jungle;John Huston;Film noir;"MGM; based on novel of same name; 4 Oscar nominations"
At War with the Army;Hal Walker;Musical comedy;"Paramount; first starring roles for Martin and Lewis, Bergen"
The Avengers;John H. Auer;Adventure;Republic
Backfire;Vincent Sherman;Crime thriller;Warner Bros.
The Bandit Queen;William Berke;Western;Lippert
The Baron of Arizona;Samuel Fuller;Western;Lippert
Barricade;Peter Godfrey;Drama;Warner Bros.
Beauty on Parade;Lew Landers;Drama;Columbia
Belle of Old Mexico;R. G. Springsteen;Musical/Comedy;Republic Pictures
Bells of Coronado;William Witney;Western;Republic
Between Midnight and Dawn;Gordon Douglas;Crime thriller;Columbia
Beware of Blondie;Edward Bernds;Comedy;Columbia. Last of 28-film series
Beyond the Purple Hills;John English;Western;Columbia
The Big Hangover;Norman Krasna;Comedy;MGM
The Big Lift;George Seaton;War;20th Century Fox. Shot in Berlin
Black Hand;Richard Thorpe;Crime drama;MGM
Black Jack;Julien Duvivier;Adventure;Independent
The Black Rose;Henry Hathaway;Historical;20th Century Fox. U.S./U.K. co-production
The Blazing Sun;John English;Western;Columbia
The Blonde Bandit;Harry Keller;Crime;Republic
