711 Ocean Drive;Joseph M. Newman;Crime drama;Columbia
Abbott and Costello in the Foreign Legion;Charles Lamont;Comedy;Universal
Across the Badlands;Fred F. Sears;Western;Columbia
The Admiral Was a Lady;Albert S. Rogell;Comedy;United Artists
All About Eve;Joseph L. Mankiewicz;Drama;"20th Century Fox; Academy Award for Best Picture; 12 nominations"
Ambush;Sam Wood;Western;MGM. Wood's last film
American Guerrilla in the Philippines;Fritz Lang;War;20th Century Fox
Annie Get Your Gun;George Sidney;Musical;"MGM. Based on 1946 musical; 4 Oscar nominations"
The Arizona Cowboy;R. G. Springsteen;Western;Republic
Arizona Territory;Wallace Fox;Western;Monogram
Armored Car Robbery;Richard Fleischer;Film noir;RKO. Among first heist films
The Asphalt Jungle;John Huston;Film noir;"MGM; based on novel of same name; 4 Oscar nominations"
At War with the Army;Hal Walker;Musical comedy;"Paramount; first starring roles for Martin and Lewis, Bergen"
The Avengers;John H. Auer;Adventure;Republic
Backfire;Vincent Sherman;Crime thriller;Warner Bros.
The Bandit Queen;William Berke;Western;Lippert
The Baron of Arizona;Samuel Fuller;Western;Lippert
Barricade;Peter Godfrey;Drama;Warner Bros.
Beauty on Parade;Lew Landers;Drama;Columbia
Belle of Old Mexico;R. G. Springsteen;Musical/Comedy;Republic Pictures
Bells of Coronado;William Witney;Western;Republic
Between Midnight and Dawn;Gordon Douglas;Crime thriller;Columbia
Beware of Blondie;Edward Bernds;Comedy;Columbia. Last of 28-film series
Beyond the Purple Hills;John English;Western;Columbia
The Big Hangover;Norman Krasna;Comedy;MGM
The Big Lift;George Seaton;War;20th Century Fox. Shot in Berlin
Black Hand;Richard Thorpe;Crime drama;MGM
Black Jack;Julien Duvivier;Adventure;Independent
The Black Rose;Henry Hathaway;Historical;20th Century Fox. U.S./U.K. co-production
The Blazing Sun;John English;Western;Columbia
The Blonde Bandit;Harry Keller;Crime;Republic
Blonde Dynamite;William Beaudine;Comedy;Monogram
Blondie's Hero;Edward Bernds;Comedy;Columbia
Blue Grass of Kentucky;William Beaudine;Western;Monogram
Blues Busters;William Beaudine;Comedy;Monogram
Border Outlaws;Richard Talmadge;Western;Eagle-Lion
Borderline;William A. Seiter;Film noir;Universal
Border Rangers;William Berke;Western;Lippert
Border Treasure;George Archainbaud;Western;RKO
Born to Be Bad;Nicholas Ray;Drama;RKO. Based on novel All Kneeling
Born Yesterday;George Cukor;Comedy;"Columbia. Oscar for Holliday; remade in 1993"
The Boy from Indiana;John Rawlins;Sports;Eagle-Lion
Branded;Rudolph Maté;Western;"Paramount; Remake of 1931 film"
The Breaking Point;Michael Curtiz;Film noir;Warner Bros. Based on novel To Have and Have Not
Breakthrough;Lewis Seiler;War;Warner Bros.
Bright Leaf;Michael Curtiz;Drama;Warner Bros. Based on 1949 novel
Broken Arrow;Delmer Daves;Western;20th Century Fox. 3 Oscar nominations
Buccaneer's Girl;Frederick de Cordova;Adventure;Universal
Bunco Squad;Herbert I. Leeds;Crime;RKO
Caged;John Cromwell;Film noir;"Warner Bros. From story Women Without Men; 3 Oscar nominations"
California Passage;Joseph Kane;Western;Republic
Call of the Klondike;Frank McDonald;Western;Monogram
Captain Carey, U.S.A.;Mitchell Leisen;Film noir;"Paramount. Oscar for Best Song (""Mona Lisa"")"
Captain China;Lewis R. Foster;Adventure;Paramount
Captive Girl;William Berke;Adventure;Columbia
The Capture;John Sturges;Drama;RKO
Cargo to Capetown;Earl McEvoy;Film noir;Columbia
The Cariboo Trail;Edwin L. Marin;Western;20th Century Fox
Chain Gang;Lew Landers;Crime;Columbia
Chain Lightning;Stuart Heisler;Drama;Warner Bros.
Champagne for Caesar;Richard Whorf;Comedy;United Artists
Cheaper by the Dozen;Walter Lang;Comedy;"20th Century Fox. Based on 1948 novel; sequel in 1952; remade in 2003"
Cherokee Uprising;Lewis D. Collins;Western;Monogram
Cinderella;3 directors;Animation;Disney
Code of the Silver Sage;Fred C. Brannon;Western;Republic
Colorado Ranger;Thomas Carr;Western;Lippert
Colt .45;Edwin L. Marin;Western;Warner Bros.
Comanche Territory;George Sherman;Western;Universal
Convicted;Henry Levin;Film noir;Columbia. Based on play The Criminal Code
Copper Canyon;John Farrow;Western;Paramount
Counterspy Meets Scotland Yard;Seymour Friedman;Crime;Columbia
County Fair;William Beaudine;Drama;Monogram
Covered Wagon Raid;R. G. Springsteen;Western;Republic
Cow Town;John English;Western;Columbia
Crisis;Richard Brooks;Film-noir;MGM. Based on short story The Doubters
Crooked River;Thomas Carr;Western;Lippert
Cry Murder;Jack Glenn;Crime;Film Classics
Curtain Call at Cactus Creek;Charles Lamont;Comedy;Universal
Customs Agent;Seymour Friedman;Crime;Columbia
Cyrano de Bergerac;Michael Gordon;Adventure;United Artists. Oscar for Best Actor
D.O.A.;Rudolph Maté;Film noir;"United Artists; remade in 1988"
Dakota Lil;Lesley Selander;Western;20th Century Fox
Dallas;Stuart Heisler;Western;Warner Bros.
The Daltons' Women;Thomas Carr;Western;Realart
The Damned Don't Cry;Vincent Sherman;Film noir;Warner Bros. Based on story by Gertrude Walker
Dark City;William Dieterle;Film noir;Paramount. Heston's first film
The Daughter of Rosie O'Grady;David Butler;Musical;Warner Bros.
David Harding, Counterspy;Ray Nazarro;Film noir;Columbia
Davy Crockett, Indian Scout;Lew Landers;Western;United Artists
Deported;Robert Siodmak;Film noir;Universal
The Desert Hawk;Frederick de Cordova;Adventure;Universal
Destination Big House;George Blair;Crime;Republic
Destination Moon;Irving Pichel;Science fiction;Eagle-Lion
Destination Murder;Edward L. Cahn;Film noir;RKO
Devil's Doorway;Anthony Mann;Western;MGM
Dial 1119;Gerald Mayer;Film noir;MGM
Duchess of Idaho;Robert Z. Leonard;Musical;MGM
Double Deal;Abby Berlin;Crime drama;RKO
The Du Pont Story;Wilhelm Thiele;Biographical;Independent
